plain_urdu,poetic_urdu
استاد بچوں کو پڑھاتے ہیں۔,معلم سکھاتے ہیں راہِ علم و آگہی۔
استاد پڑھا رہا ہے,درس دے رہا ہے استاد، علم کی شمع ہے یہ
استاد پڑھاتے ہیں۔,معلم دیتے ہیں علم کا نور
استاد علم کی شمع روشن کرتے ہیں۔,استاد علم کے سفیر ہیں۔
استاد علم کی شمع روشن کرتے ہیں۔,معلم علم کی شمع فروزاں کرتے ہیں۔
استاد علم کی شمع ہے۔,استاد کی روشنی سے منور ہے جہاں
استاد قوم کے معمار ہوتے ہیں۔,استاد ہیں معمارِ قوم۔
استاد قوم کے معمار ہیں۔,معلم قوم کے رہنما ہیں۔
استاد کا احترام کرنا چاہیے۔,قدر کرو تم معلم کی ہمیشہ۔
استاد کا کہنا مانو۔,استاد کے فرمان پر چلو، یہ ہے کامیابی کا راستہ۔
اسلام آباد پاکستان کا دارالحکومت ہے۔,اسلام آباد ہے دارالحکومت، مرکزِ نگاہِ جہاں ہے تو
اسلام آباد پاکستان کا دارالحکومت ہے۔,اسلام آباد، دارالحکومتِ پاکستان، امن کا گہوارہ
اعتبار ضروری ہے۔,اعتبار سے رشتے مضبوط ہوتے ہیں
اللہ ایک ہے۔,اللہ واحد ہے۔
اللہ بڑا رحیم ہے۔,اللہ بڑا رحیم ہے۔
اللہ بڑا ستار ہے۔,اللہ بڑا ستار ہے۔
اللہ بڑا غفور ہے۔,اللہ بڑا غفور ہے۔
اللہ بڑا کریم ہے۔,اللہ بڑا کریم ہے۔
امتحان قریب ہے۔,امتحان کی گھڑی سر پر ہے
امن برقرار رکھو۔,دنیا میں امن و امان قائم کرو
امن سے رہو۔,آشتی سے بسر کرو۔
امن ضروری ہے۔,امن سے خوشحالی آتی ہے
امن میں زندگی خوشگوار ہوتی ہے۔,امن و سکون میں زندگی پر بہار ہوتی ہے۔
امن و امان ضروری ہے,امن و اماں سے ہے زندگی میں سکوں
امید ایک طاقت ہے۔,امید زندگی کو جاری رکھنے کی وجہ ہے
امید پر دنیا قائم ہے۔,آرزو کی شمع سے روشن ہے جہانِ زیست
امید پر دنیا قائم ہے۔,آس کی ڈوری سے زندگی بندھی ہے۔
امید سے حوصلہ ملتا ہے۔,امید سے حوصلہ ملتا ہے۔
امید قائم رکھو۔,امید کا دامن نہ چھوڑو۔
امید کا دامن کبھی نہیں چھوڑنا چاہیے۔,امید کا دامن نہ چھوڑ اے دل۔
اندھیرا جہالت کی علامت ہے۔,ظلمت جہالت کی نشانی ہے۔
اندھیرا چھا گیا ہے۔,تاریکی چھا گئی۔
انسان خطا کا پتلا ہے۔,انسان ہے خطا کا پیکر ہمیشہ۔
انسان خطا کا پتلا ہے۔,بشر سے خطا سرزد ہوتی ہے۔
انسان خطا کا پتلا ہے۔,غلطی کا امکان ہے ہر انسان میں
انسان خطا کا پتلا ہے۔,انسان ہے پتلا خطاؤں کا۔
انصاف ضروری ہے۔,انصاف سے حق ملتا ہے
انصاف کرو,عدل سے کام لو
انگریزی ایک بین الاقوامی زبان ہے۔,انگریزی ہے عالمی زباں، دنیا سے جوڑتی ہے تو
اونٹ چل رہا ہے۔,اونٹ چل رہا ہے۔
ایک دوسرے پر بھروسہ کرو۔,ایک دوسرے پر اعتماد کرو
ایک دوسرے سے محبت کرو۔,پیار اور محبت سے پیش آؤ
ایک دوسرے کا احترام کرو۔,ایک دوسرے کی عزت کرو
ایک دوسرے کو سمجھو۔,ایک دوسرے کی بات سمجھو
ایک دوسرے کو معاف کرو۔,ایک دوسرے کی غلطیاں معاف کرو
ایک دوسرے کی قدر کرو۔,ایک دوسرے کی اہمیت کو جانو
ایک دوسرے کی مدد کرو۔,باہمی تعاون سے کام کرو
ایک دوسرے کے ساتھ رہو۔,مشکل وقت میں ایک دوسرے کا ساتھ دو
ایک دوسرے کے لیے دعا کرو۔,ایک دوسرے کے لیے نیک خواہشات کا اظہار کرو
ایماندار بنو۔,راست باز بنو۔
ایماندار رہو۔,ایمانداری سے عزت ملتی ہے
ایماندار رہو۔,ہمیشہ ایماندار رہو
ایمانداری بہترین پالیسی ہے۔,دیانت ہے بہترین شیوہ ہر دم۔
ایمانداری بہترین پالیسی ہے۔,دیانت ہے وہ شیوہ، جو لائے عزت و وقار۔
ایمانداری بہترین حکمت عملی ہے,دیانت داری سے بڑھ کر کوئی دانائی نہیں
ایمانداری بہترین حکمت عملی ہے۔,ایمانداری ہے بہترین تدبیر۔
ایندھن بچاؤ۔,ایندھن کی بچت کرو
بادشاہی مسجد ایک خوبصورت مسجد ہے۔,بادشاہی مسجد ہے اک دلکش نظارہ، روحانیت کی نشانی ہے تو
بادل آسمان پر چھائے ہوئے ہیں۔,ابر چھائے ہیں فلک پر۔
بادل گرج رہے ہیں۔,بادل گرج رہے ہیں۔
بارش زمین پر برستی ہے۔,رحمت کی گھٹا دھرتی پہ برستی ہے۔
بارش زمین پر پانی برساتی ہے۔,رحمت کی گھٹائیں برسیں دھرتی کی پیاس بجھائیں
بارش زمین پر زندگی لاتی ہے,ابرِ رحمت سے کھل اٹھتی ہے دھرتی بے تاب
بارش زمین پر زندگی لاتی ہے۔,ابرِ رحمت سے دھرتی میں جان پڑتی ہے۔
بارش زمین پر زندگی لاتی ہے۔,بارانِ رحمت سے دھرتی پہ حیات نو ہے۔
بارش زمین پر زندگی لاتی ہے۔,بارش کی ہر بوند، حیات کا پیغام لائی
بارش زمین کو سیراب کرتی ہے,ابرِ رحمت سے تر ہوتی ہے زمیں کی پیاس
بارش زمین کو سیراب کرتی ہے۔,ابرِ رحمت سے دھرتی شاداب ہوتی ہے۔
بارش زمین کو سیراب کرتی ہے۔,ابرِ رحمت سے دھرتی کی پیاس بجھانا
بارش زمین کو سیراب کرتی ہے۔,ابرِ رحمت سے دھرتی کی پیاس بجھتی ہے۔
بارش زمین کو سیراب کرتی ہے۔,ابرِ رحمت سے زمین گلزار ہے۔
بارش زمین کو سیراب کرتی ہے۔,بارانِ رحمت سے دھرتی کی پیاس بجھتی ہے۔
بارش زمین کو سیراب کرتی ہے۔,بارانِ رحمت سے سیراب ہے دشتِ تشنہ لب۔
بارش زمین کو سیراب کرتی ہے۔,باراں سے زمیں کی پیاس بجھتی ہے۔
بارش زمین کو سیراب کرتی ہے۔,باراں سے سیراب ہوتی ہے زمیں کی پیاس۔
بارش زمین کو سیراب کرتی ہے۔,باراں سے ہے سیراب یہ دشت و جبل سارا۔
بارش زمین کو سیراب کرتی ہے۔,رحمت کی گھٹا زمیں کو تر کرتی ہے۔
بارش زمین کو سیراب کرتی ہے۔,رحمت کی گھٹائیں برسیں زمیں شاداب ہو۔
بارش زمین کو سیراب کرتی ہے۔,بارش سے زمین سیراب ہوتی ہے۔
بارش میں بھیگنا ایک خوشگوار تجربہ ہے۔,بارش کی بوندیں روح کو جلابخشتی ہیں۔
بارش میں بھیگنا ایک خوشگوار تجربہ ہے۔,رُوح کو تازگی بخشتی ہے بارش کی بوند۔
بارش ہو رہی ہے,فضا میں گھٹائیں ہیں اور رحمت برستی ہے
بارش ہو رہی ہے,برس رہی ہے بارش، کیا سماں ہے یہ
بارش ہو رہی ہے,آسمان نے آنسو بہائے ہیں
بارش ہو رہی ہے۔,ابرِ رحمت سے دھلی ہے ساری فضا
بارش ہو رہی ہے۔,بارش برس رہی ہے۔
بارش ہو رہی ہے۔,برس رہی ہے رحمتِ پروردگار۔
بارش ہو رہی ہے۔,رحمت کی گھٹا چھائی ہے۔
بارش ہو رہی ہے۔,فضا میں رقص کناں ہیں قطرے، برسات ہے۔
بارش ہو رہی ہے۔,بادل اشک بہا رہے ہیں۔
بارش ہو رہی ہے۔,برس رہی ہے رحمتِ بارانِ الٰہی۔
بارش ہو رہی ہے۔,رحمت کی برسات ہے کیا سماں۔
بارش ہو رہی ہے۔,بادل برسے ہیں اور دھرتی ہے تر۔
بارش ہو رہی ہے۔,برس رہی ہے رحمت، فضا ہے عطر بیز۔
بارش ہو رہی ہے۔,برستی ہے رحمت بن کر گھٹائیں۔
بازار مصروف ہے۔,بازار مصروف ہے۔
باغ سرسبز ہے۔,باغ سرسبز ہے۔
باغ میں پھول کھلے ہیں,گلشن میں کھلے ہیں گل، کیا بہار ہے یہ
بجٹ بناؤ۔,اخراجات کو کنٹرول کرنے کے لیے بجٹ بناؤ
بجلی بچاؤ,توانائی کا استعمال کفایت شعاری سے کرو
بجلی بچاؤ۔,بجلی قیمتی ہے
بجلی بچاؤ۔,بجلی کا استعمال کم کرو
بجلی چمک رہی ہے۔,بجلیاں کوند رہی ہیں۔
بچت کرو۔,پیسے کی بچت کرو
بچوں سے پیار کرو۔,بچوں سے پیار کرنا جنت ہے
بچوں کو پیار سے پالنا چاہیے۔,بچوں کو پیار سے پروان چڑھاؤ۔
بچے باغ میں کھیل رہے ہیں۔,غنچے چمن میں بصد شادمانی کھیلتے ہیں۔
بچے پارک میں کھیل رہے ہیں,گلشن میں بچے کھیل رہے ہیں شادماں
بچے پارک میں کھیل رہے ہیں,طفلانِ چمن بزمِ گلشن میں محوِ کھیل ہیں
بچے پارک میں کھیل رہے ہیں,گلشن میں کلیاں چہچہا رہی ہیں
بچے پارک میں کھیل رہے ہیں۔,غنچے کھل رہے ہیں چمن میں، کھیل ہے جاری۔
بچے پارک میں کھیل رہے ہیں۔,غنچے گلشن میں شادماں ہیں۔
بچے پارک میں کھیل رہے ہیں۔,گلشن میں بچے کھلکھلا رہے ہیں۔
بچے پارک میں کھیل رہے ہیں۔,گلشن میں معصوم کلیوں کا ہے راج۔
بچے پارک میں کھیلتے ہیں۔,طفل چمن میں کھیلتے ہیں شاداب۔
بچے پارک میں کھیلتے ہیں۔,طفلانِ چمن باغ میں محوِ خرام ہیں۔
بچے پارک میں کھیلتے ہیں۔,طفلانِ چمن کھیلتے ہیں بزمِ گلستاں میں۔
بچے پارک میں کھیلتے ہیں۔,طفلانِ چمن محوِ کھیل ہیں بستان میں۔
بچے پارک میں کھیلتے ہیں۔,گلشن میں بچوں کا کھیل، زندگی کی علامت
بچے پارک میں کھیلتے ہیں۔,بچے گلشنِ طفلی میں محوِ نشاط ہیں۔
بچے پارک میں کھیلتے ہیں۔,گلشنِ طفلی میں مسرتوں کا راج ہے۔
بچے پارک میں کھیلتے ہیں۔,گلشن میں معصومیت کی کلیاں چٹکتی ہیں
بچے کھیل رہے ہیں,محوِ کھیل ہیں بچے، کیا رنگ ہے ان کا
بچے کھیل رہے ہیں۔,بچے چمن میں کھیل رہے ہیں۔
بچے کھیل رہے ہیں۔,بزمِ طفلاں ہے، کھیل کود میں مست ہیں۔
بچے کھیل رہے ہیں۔,معصوم کلیاں کھیل رہی ہیں چمن میں۔
بچے کھیل رہے ہیں۔,بچوں کی ہنسی سے گُلزار ہے دنیا
بچے کھیل رہے ہیں۔,بچے محوِ کھیل ہیں۔
بچے کھیل کے میدان میں کھیلتے ہیں۔,بچے گلشن میں کھیلتے ہیں۔
بچے میدان میں کھیل رہے ہیں۔,گلشنِ دہر میں معصوم کلیوں کی چہل پہل ہے۔
بخشش مانگو۔,معافی طلب کرو۔
بدتمیزی مت کرو۔,بدتمیزی سے نفرت پھیلتی ہے
برداشت کرو۔,دوسروں کے خیالات کو برداشت کرو
برف سفید ہے۔,برف سفید ہے۔
برے کام مت کرو۔,برے کام کرنے سے گناہ ملتا ہے
بزرگوں کا احترام کرو,بڑوں کا ادب ملحوظ رکھو
بزرگوں کا احترام کرو۔,بزرگوں کی تعظیم کرو۔
بڑوں کا احترام کرو۔,بڑوں کی تعظیم کرو، یہ ہے تہذیب کی نشانی۔
بڑوں کا احترام کرو۔,بزرگوں کا ادب کرو۔
بڑوں کا احترام کرو۔,بڑوں کا احترام کرنا فرض ہے
بطخ تیر رہی ہے۔,بطخ تیر رہی ہے۔
بکری میمیا رہی ہے۔,بکری میمیا رہی ہے۔
بلی درخت پر چڑھ گئی,بڑھ گئی شجر پر گربہ، کیا خوب ادا ہے اس کی
بلی میاؤں کر رہی ہے۔,بلی میاؤں کر رہی ہے۔
بندر اچھل رہا ہے۔,بندر اچھل رہا ہے۔
بھول جانا بھی ضروری ہے۔,بھول جانا تکلیف دہ یادوں سے نجات دلاتا ہے
بھیڑیا بھونک رہا ہے۔,بھیڑیا بھونک رہا ہے۔
بہادر بنو۔,بہادر اور نڈر بنو
بہار کا موسم بہت خوشگوار ہوتا ہے۔,موسم بہار ہے رنگوں کا پیغام، خوشیوں کی نوید ہے تو
بیماروں کی عیادت کرو۔,بیماروں کی تیمارداری کرو
بیواؤں کی مدد کرو۔,بیواؤں کی کفالت کرو
بے ایمان مت بنو۔,بے ایمانی سے ذلت ملتی ہے
پاکستان اقوام متحدہ کا رکن ہے۔,اقوام متحدہ کا رکن ہے پاکستان، امن کا علمبردار ہے تو
پاکستان ایک اسلامی جمہوریہ ہے۔,اسلامی جمہوریہ ہے پاکستان، اتحاد کی علامت ہے تو
پاکستان ایک ترقی پذیر ملک ہے۔,ترقی کی راہ پر گامزن ہے وطن، مستقبل کی امید ہے تو
پاکستان ایک خوبصورت ملک ہے۔,پاکستان گلشنِ رعنائی ہے۔
پاکستان ایک خوبصورت ملک ہے۔,گلشنِ رعنائی، پاکستان ہمارا ہے۔
پاکستان ایک خوبصورت ملک ہے۔,ہے گلشنِ عالم میں وطن میرا نشاں۔
پاکستان ایک خوبصورت ملک ہے۔,یہ گلشن ہمارا، وطن ہے پیارا
پاکستان ایک خوبصورت ملک ہے۔,گلشنِ رعنائی ہے پاکستان اے ہم وطن۔
پاکستان ایک خوبصورت ملک ہے۔,گلشن ہے میرا وطن پاکستان۔
پاکستان ایک خوبصورت ملک ہے۔,ارضِ پاک، حسن و رعنائی کا گہوارہ
پاکستان ایک خوبصورت ملک ہے۔,پاکستان ہے گلستان، حُسن و رعنائی کا مرکز۔
پاکستان ایک خوبصورت ملک ہے۔,وطن میرا، گلشن رنگ و بو کا امیں ہے۔
پاکستان زندہ باد۔,پاکستان زندہ باد رہے گا۔
پاکستان کا آئین 1973 میں منظور ہوا۔,آئین پاکستان ہے 1973 کا، قانون کی حکمرانی ہے تو
پاکستان کی پارلیمنٹ میں دو ایوان ہیں۔,پارلیمنٹ میں ہیں دو ایوان، قانون سازی کا مرکز ہے تو
پاکستان کی سپریم کورٹ سب سے بڑی عدالت ہے۔,سپریم کورٹ ہے سب سے بڑی عدالت، انصاف کی علامت ہے تو
پاکستان کی معیشت زراعت پر مبنی ہے۔,زراعت ہے معیشت کی بنیاد، خوشحالی کی علامت ہے تو
پاکستان میرا وطن ہے۔,پاکستان ہے میری پہچان، میرا وطن۔
پاکستان میں بہت سی این جی اوز کام کرتی ہیں۔,این جی اوز کرتی ہیں خدمت یہاں، انسانیت کی پہچان ہیں تو
پاکستان میں بہت سی تاریخی جگہیں ہیں۔,تاریخ کے نقوش ہیں یہاں، عظمت کی نشانی ہے تو
پاکستان میں بہت سی جیلیں ہیں۔,جیلیں ہیں اصلاح کا مرکز یہاں، توبہ کی امید ہیں تو
پاکستان میں بہت سی زبانیں بولی جاتی ہیں۔,زبانیں ہیں رنگا رنگ یہاں، ثقافت کی پہچان ہیں تو
پاکستان میں بہت سی مساجد ہیں۔,مساجد ہیں عبادت کا مرکز یہاں، سکون کی علامت ہیں تو
پاکستان میں بہت سی یونیورسٹیاں ہیں۔,یونیورسٹیاں ہیں علم کا مرکز، ترقی کی راہ ہیں تو
پاکستان میں بہت سے استاد ہیں۔,استاد ہیں معلم یہاں، علم کی شمع ہیں تو
پاکستان میں بہت سے انجینئر ہیں۔,انجینئر ہیں معمارِ وطن، تعمیر کی علامت ہیں تو
پاکستان میں بہت سے پہاڑی سلسلے ہیں۔,پہاڑوں سے ڈھکا ہے وطن، قدرت کی نشانی ہے تو
پاکستان میں بہت سے تھانے ہیں۔,تھانے ہیں امن کے محافظ یہاں، حفاظت کی علامت ہیں تو
پاکستان میں بہت سے تہوار منائے جاتے ہیں۔,تہوار ہیں خوشیوں کا پیغام، ثقافت کی نشانی ہیں تو
پاکستان میں بہت سے جج ہیں۔,جج ہیں انصاف کے علمبردار یہاں، عدل کی پہچان ہیں تو
پاکستان میں بہت سے درگاہیں ہیں۔,درگاہیں ہیں عقیدت کا مرکز یہاں، روحانیت کی نشانی ہیں تو
پاکستان میں بہت سے سکول ہیں۔,سکول ہیں تعلیم کا گہوارہ یہاں، علم کی شمع ہیں تو
پاکستان میں بہت سے سیاستدان ہیں۔,سیاستدان ہیں رہبر یہاں، قوم کی امید ہیں تو
پاکستان میں بہت سے شاعر ہیں۔,شاعر ہیں سخنور یہاں، الفاظ کی دنیا ہیں تو
پاکستان میں بہت سے صوفی بزرگ ہیں۔,صوفی بزرگ ہیں ولی یہاں، معرفت کی پہچان ہیں تو
پاکستان میں بہت سے کالج ہیں۔,کالج ہیں اعلیٰ تعلیم کا مرکز یہاں، ترقی کی راہ ہیں تو
پاکستان میں بہت سے کھلاڑی ہیں۔,کھلاڑی ہیں باصلاحیت یہاں، کھیل کی جان ہیں تو
پاکستان میں بہت سے گلوکار ہیں۔,گلوکار ہیں خوش آواز یہاں، موسیقی کی جان ہیں تو
پاکستان میں بہت سے مخیر حضرات ہیں۔,مخیر حضرات ہیں سخی یہاں، سخاوت کی مثال ہیں تو
پاکستان میں بہت سے مدرسے ہیں۔,مدرسے ہیں دینی تعلیم کا مرکز یہاں، ہدایت کی راہ ہیں تو
پاکستان میں بہت سے مزار ہیں۔,مزار ہیں عقیدت کا مرکز یہاں، روحانیت کی نشانی ہیں تو
پاکستان میں بہت سے ہسپتال ہیں۔,ہسپتال ہیں شفا کا مرکز یہاں، صحت کی ضمانت ہیں تو
پاکستان میں بہت سے وکیل ہیں۔,وکیل ہیں قانون کے محافظ یہاں، انصاف کی امید ہیں تو
پاکستان میں بہت سے یتیم خانے ہیں۔,یتیم خانے ہیں سہارا یہاں، محبت کی مثال ہیں تو
پاکستان میں جمہوریت ہے۔,جمہوریت ہے نظامِ حکومت یہاں، عوام کی حکمرانی ہے تو
پاکستان میں چار موسم ہوتے ہیں۔,چار موسموں کا ہے دیس، رنگوں کی بہار ہے تو
پاکستان ہمارا گھر ہے۔,پاکستان ہمارا آشیاں ہے۔
پاکستانی اداکار باصلاحیت ہیں۔,اداکار ہیں فنکار یہاں، اداکاری کی معراج ہیں تو
پاکستانی ادیب باصلاحیت ہیں۔,ادیب ہیں دانشور یہاں، علم کی روشنی ہیں تو
پاکستانی بچے ذہین ہوتے ہیں۔,بچے ہیں ذہین یہاں، مستقبل کی امید ہیں تو
پاکستانی بچے سکول جاتے ہیں۔,بچے جاتے ہیں سکول یہاں، مستقبل کی امید ہیں تو
پاکستانی پولیس لوگوں کی حفاظت کرتی ہے۔,پولیس کرتی ہے حفاظت یہاں، امن کی علامت ہے تو
پاکستانی ڈاکٹر اچھے ہوتے ہیں۔,ڈاکٹر ہیں مسیحا یہاں، صحت کی ضمانت ہیں تو
پاکستانی ڈاکٹر مریضوں کا علاج کرتے ہیں۔,ڈاکٹر کرتے ہیں علاج مریضوں کا، مسیحائی کی مثال ہیں تو
پاکستانی سائنسدان باصلاحیت ہیں۔,سائنسدان ہیں باصلاحیت یہاں، علم کی روشنی ہیں تو
پاکستانی صحافی نڈر ہوتے ہیں۔,صحافی ہیں بے باک یہاں، سچ کی آواز ہیں تو
پاکستانی طالب علم محنتی ہوتے ہیں۔,طالب علم ہیں محنتی یہاں، کامیابی کی مثال ہیں تو
پاکستانی فنکار باصلاحیت ہیں۔,فنکار ہیں باکمال یہاں، فن کی معراج ہیں تو
پاکستانی فوجی بہادر ہوتے ہیں۔,فوجی ہیں جانباز یہاں، وطن کی شان ہیں تو
پاکستانی کسان محنتی ہوتے ہیں۔,کسان ہیں محنتی یہاں، دھرتی کی جان ہیں تو
پاکستانی لوگ بزرگوں کا احترام کرتے ہیں۔,لوگ کرتے ہیں احترام بزرگوں کا، تہذیب کی پہچان ہیں تو
پاکستانی لوگ بہت مہمان نواز ہیں۔,پاکستانی ہیں مہمان نواز، یہ ان کی پہچان ہے
پاکستانی لوگ خیرات کرتے ہیں۔,لوگ کرتے ہیں خیرات یہاں، ہمدردی کی مثال ہیں تو
پاکستانی لوگ دیندار ہوتے ہیں۔,لوگ ہیں دیندار یہاں، ایمان کی مثال ہیں تو
پاکستانی لوگ صوفی ازم پر یقین رکھتے ہیں۔,لوگ رکھتے ہیں یقین صوفی ازم پر، محبت کا پیغام ہے تو
پاکستانی لوگ نماز پڑھتے ہیں۔,لوگ پڑھتے ہیں نماز یہاں، خدا کی رضا ہے تو
پاکستانی لوگ یتیموں کی مدد کرتے ہیں۔,لوگ کرتے ہیں مدد یتیموں کی، انسانیت کی مثال ہیں تو
پانی بچاؤ۔,پانی کی بچت کرو
پانی بچاؤ۔,پانی زندگی ہے
پانی پیو۔,خوب پانی پیو
پانی زندگی کے لیے ضروری ہے۔,آبِ حیات ہے بقائے زیست کا سامان۔
پانی زندگی کے لیے ضروری ہے۔,آبِ حیات ہے ہر ذی روح کی پیاس
پانی زندگی ہے۔,آب حیات ہے۔
پانی زندگی ہے۔,آب ہے زندگی، اس کی قدر کرو ہمیشہ۔
پانی زیادہ پیو۔,کثرت سے آب نوش کرو۔
پانی صاف پیو,آبِ صاف سے بجھاؤ پیاس اپنی
پانی صاف ہے۔,پانی شفاف ہے۔
پر امید رہو۔,ہمیشہ پر امید رہو
پرامید رہو۔,پرامید رہنے سے زندگی آسان ہوتی ہے
پرچم شان ہے۔,پرچم ہے شان ہماری۔
پرندوں کو دانہ ڈالو۔,پرندوں کو چگنے کے لیے دانہ ڈالو
پرندوں کی مدد کرو۔,پرندوں کو دانہ ڈالو
پرندے آسمان پر اڑ رہے ہیں,طائرانِ فلک فضا میں پرواز کناں ہیں
پرندے آسمان پر اڑ رہے ہیں۔,طائر فضا میں پرواز کناں ہیں۔
پرندے آسمان پر اڑتے ہیں,پرندے فضا میں بھرتے ہیں پروازِ بے حساب
پرندے آسمان پر اڑتے ہیں,فضا میں پرواز کرتے ہیں طیورِ خوش الحان
پرندے آسمان پر اڑتے ہیں۔,پرندے فضا میں پرواز کرتے ہیں۔
پرندے آسمان پر اڑتے ہیں۔,پرندے فلک کی وسعتوں میں پرواز کرتے ہیں۔
پرندے آسمان پر اڑتے ہیں۔,طائر فضا میں پرواز کرتے ہیں۔
پرندے آسمان پر اڑتے ہیں۔,طائرانِ فلک فضا میں پرواز کرتے ہیں۔
پرندے آسمان پر اڑتے ہیں۔,فضا میں پرندوں کی پروازِ بے کراں ہے۔
پرندے آسمان پر اڑتے ہیں۔,فضا میں پرواز ہے طائروں کی۔
پرندے آسمان پر اڑتے ہیں۔,فضاؤں میں پرندوں کی آزادی کا ترانہ ہے
پرندے آسمان پر اڑتے ہیں۔,فضاؤں میں پرندوں کی اڑان، زندگی کا ترانہ
پرندے آسمان پر اڑتے ہیں۔,ہواؤں میں نغموں کی روانی ہے۔
پرندے آسمان پر اڑتے ہیں۔,مرغانِ ہوا فضا میں پرواز کناں ہیں۔
پرندے آسمان میں اڑ رہے ہیں۔,طائر فضائے نیلگوں میں پرواز کرتے ہیں۔
پرندے آسمان میں اڑتے ہیں۔,فضا میں پرندوں کی اڑان، رنگ بھرنا
پرندے اڑ رہے ہیں,خواہشوں کے پرواز میں گم ہیں
پرندے اڑ رہے ہیں۔,پرندے فضا میں پرواز کناں ہیں۔
پرندے اڑ رہے ہیں۔,پرندے فضا میں محوِ پرواز ہیں۔
پرندے چہچہا رہے ہیں۔,چہچہا رہے ہیں پرندے، فضا میں نغمگی ہے۔
پرندے چہچہا رہے ہیں۔,پرندے نغمہ سرا ہیں۔
پرندے چہچہاتے ہیں۔,نغمے پرندوں کے شاخوں پہ گونجے
پرندے درختوں پر چہچہا رہے ہیں۔,شاخوں پر نغمہ سرا ہیں طیورِ خوش الحاں۔
پرندے ہوا میں اڑتے ہیں,اڑتے ہیں پرندے فضاؤں میں آزاد
پرندے ہوا میں اڑتے ہیں۔,طائر فضائے نیلگوں میں پر فشاں ہیں۔
پڑھو۔,علم حاصل کرو
پڑوسیوں کا خیال رکھو۔,ہمسایوں کا خیال رکھو۔
