english,urdu,poetic_urdu
Rain waters the earth.,بارش زمین کو سیراب کرتی ہے۔,ابرِ رحمت سے دھرتی کی پیاس بجھانا
Rain waters the earth.,بارش زمین کو سیراب کرتی ہے۔,ابرِ رحمت سے دھرتی کی پیاس بجھتی ہے۔
Rain waters the earth.,بارش زمین کو سیراب کرتی ہے۔,ابرِ رحمت سے زمین گلزار ہے۔
Rain waters the earth.,بارش زمین کو سیراب کرتی ہے۔,بارانِ رحمت سے دھرتی کی پیاس بجھتی ہے۔
Rain waters the earth.,بارش زمین کو سیراب کرتی ہے۔,بارانِ رحمت سے سیراب ہے دشتِ تشنہ لب۔
Rain waters the earth.,بارش زمین کو سیراب کرتی ہے۔,باراں سے زمیں کی پیاس بجھتی ہے۔
Rain waters the earth.,بارش زمین کو سیراب کرتی ہے۔,باراں سے سیراب ہوتی ہے زمیں کی پیاس۔
Rain waters the earth.,بارش زمین کو سیراب کرتی ہے۔,باراں سے ہے سیراب یہ دشت و جبل سارا۔
Rain waters the earth.,بارش زمین کو سیراب کرتی ہے۔,رحمت کی گھٹا زمیں کو تر کرتی ہے۔
Rain waters the earth.,بارش زمین کو سیراب کرتی ہے۔,رحمت کی گھٹائیں برسیں زمیں شاداب ہو۔
Getting wet in the rain is a pleasant experience.,بارش میں بھیگنا ایک خوشگوار تجربہ ہے۔,بارش سے زمین سیراب ہوتی ہے۔
Getting wet in the rain is a pleasant experience.,بارش میں بھیگنا ایک خوشگوار تجربہ ہے۔,بارش کی بوندیں روح کو جلابخشتی ہیں۔
It is raining,بارش ہو رہی ہے,رُوح کو تازگی بخشتی ہے بارش کی بوند۔
It is raining,بارش ہو رہی ہے,فضا میں گھٹائیں ہیں اور رحمت برستی ہے
It is raining,بارش ہو رہی ہے,برس رہی ہے بارش، کیا سماں ہے یہ
It is raining.,بارش ہو رہی ہے۔,آسمان نے آنسو بہائے ہیں
It is raining.,بارش ہو رہی ہے۔,ابرِ رحمت سے دھلی ہے ساری فضا
It is raining.,بارش ہو رہی ہے۔,بارش برس رہی ہے۔
It is raining.,بارش ہو رہی ہے۔,برس رہی ہے رحمتِ پروردگار۔
It is raining.,بارش ہو رہی ہے۔,رحمت کی گھٹا چھائی ہے۔
It is raining.,بارش ہو رہی ہے۔,فضا میں رقص کناں ہیں قطرے، برسات ہے۔
It is raining.,بارش ہو رہی ہے۔,بادل اشک بہا رہے ہیں۔
It is raining.,بارش ہو رہی ہے۔,برس رہی ہے رحمتِ بارانِ الٰہی۔
It is raining.,بارش ہو رہی ہے۔,رحمت کی برسات ہے کیا سماں۔
It is raining.,بارش ہو رہی ہے۔,بادل برسے ہیں اور دھرتی ہے تر۔
It is raining.,بارش ہو رہی ہے۔,برس رہی ہے رحمت، فضا ہے عطر بیز۔
The market is busy.,بازار مصروف ہے۔,برستی ہے رحمت بن کر گھٹائیں۔
The garden is lush.,باغ سرسبز ہے۔,بازار مصروف ہے۔
Flowers are blooming in the garden,باغ میں پھول کھلے ہیں,باغ سرسبز ہے۔
Make a budget.,بجٹ بناؤ۔,گلشن میں کھلے ہیں گل، کیا بہار ہے یہ
Save electricity,بجلی بچاؤ,اخراجات کو کنٹرول کرنے کے لیے بجٹ بناؤ
Save electricity.,بجلی بچاؤ۔,توانائی کا استعمال کفایت شعاری سے کرو
Save electricity.,بجلی بچاؤ۔,بجلی قیمتی ہے
Lightning is flashing.,بجلی چمک رہی ہے۔,بجلی کا استعمال کم کرو
Save up.,بچت کرو۔,بجلیاں کوند رہی ہیں۔
Love the children.,بچوں سے پیار کرو۔,پیسے کی بچت کرو
Children should be nurtured with love.,بچوں کو پیار سے پالنا چاہیے۔,بچوں سے پیار کرنا جنت ہے
Children are playing in the garden.,بچے باغ میں کھیل رہے ہیں۔,بچوں کو پیار سے پروان چڑھاؤ۔
Children are playing in the park,بچے پارک میں کھیل رہے ہیں,غنچے چمن میں بصد شادمانی کھیلتے ہیں۔
Children are playing in the park,بچے پارک میں کھیل رہے ہیں,گلشن میں بچے کھیل رہے ہیں شادماں
Children are playing in the park,بچے پارک میں کھیل رہے ہیں,طفلانِ چمن بزمِ گلشن میں محوِ کھیل ہیں
Children are playing in the park.,بچے پارک میں کھیل رہے ہیں۔,گلشن میں کلیاں چہچہا رہی ہیں
Children are playing in the park.,بچے پارک میں کھیل رہے ہیں۔,غنچے کھل رہے ہیں چمن میں، کھیل ہے جاری۔
Children are playing in the park.,بچے پارک میں کھیل رہے ہیں۔,غنچے گلشن میں شادماں ہیں۔
Children are playing in the park.,بچے پارک میں کھیل رہے ہیں۔,گلشن میں بچے کھلکھلا رہے ہیں۔
Children play in the park.,بچے پارک میں کھیلتے ہیں۔,گلشن میں معصوم کلیوں کا ہے راج۔
Children play in the park.,بچے پارک میں کھیلتے ہیں۔,طفل چمن میں کھیلتے ہیں شاداب۔
Children play in the park.,بچے پارک میں کھیلتے ہیں۔,طفلانِ چمن باغ میں محوِ خرام ہیں۔
Children play in the park.,بچے پارک میں کھیلتے ہیں۔,طفلانِ چمن کھیلتے ہیں بزمِ گلستاں میں۔
Children play in the park.,بچے پارک میں کھیلتے ہیں۔,طفلانِ چمن محوِ کھیل ہیں بستان میں۔
Children play in the park.,بچے پارک میں کھیلتے ہیں۔,گلشن میں بچوں کا کھیل، زندگی کی علامت
Children play in the park.,بچے پارک میں کھیلتے ہیں۔,بچے گلشنِ طفلی میں محوِ نشاط ہیں۔
Children play in the park.,بچے پارک میں کھیلتے ہیں۔,گلشنِ طفلی میں مسرتوں کا راج ہے۔
Children are playing,بچے کھیل رہے ہیں,گلشن میں معصومیت کی کلیاں چٹکتی ہیں
Children are playing.,بچے کھیل رہے ہیں۔,محوِ کھیل ہیں بچے، کیا رنگ ہے ان کا
Children are playing.,بچے کھیل رہے ہیں۔,بچے چمن میں کھیل رہے ہیں۔
Children are playing.,بچے کھیل رہے ہیں۔,بزمِ طفلاں ہے، کھیل کود میں مست ہیں۔
Children are playing.,بچے کھیل رہے ہیں۔,معصوم کلیاں کھیل رہی ہیں چمن میں۔
Children are playing.,بچے کھیل رہے ہیں۔,بچوں کی ہنسی سے گُلزار ہے دنیا
Children play in the playground.,بچے کھیل کے میدان میں کھیلتے ہیں۔,بچے محوِ کھیل ہیں۔
Children are playing in the field.,بچے میدان میں کھیل رہے ہیں۔,بچے گلشن میں کھیلتے ہیں۔
Ask for forgiveness.,بخشش مانگو۔,گلشنِ دہر میں معصوم کلیوں کی چہل پہل ہے۔
Don't be rude.,بدتمیزی مت کرو۔,معافی طلب کرو۔
Bear with me.,برداشت کرو۔,بدتمیزی سے نفرت پھیلتی ہے
Snow is white.,برف سفید ہے۔,دوسروں کے خیالات کو برداشت کرو
Do not do bad things.,برے کام مت کرو۔,برف سفید ہے۔
Respect elders,بزرگوں کا احترام کرو,برے کام کرنے سے گناہ ملتا ہے
Respect elders.,بزرگوں کا احترام کرو۔,بڑوں کا ادب ملحوظ رکھو
Respect elders.,بڑوں کا احترام کرو۔,بزرگوں کی تعظیم کرو۔
Respect elders.,بڑوں کا احترام کرو۔,بڑوں کی تعظیم کرو، یہ ہے تہذیب کی نشانی۔
Respect elders.,بڑوں کا احترام کرو۔,بزرگوں کا ادب کرو۔
The duck is swimming.,بطخ تیر رہی ہے۔,بڑوں کا احترام کرنا فرض ہے
The goat is crying.,بکری میمیا رہی ہے۔,بطخ تیر رہی ہے۔
The cat climbed the tree,بلی درخت پر چڑھ گئی,بکری میمیا رہی ہے۔
The cat is meowing.,بلی میاؤں کر رہی ہے۔,بڑھ گئی شجر پر گربہ، کیا خوب ادا ہے اس کی
The monkey is jumping.,بندر اچھل رہا ہے۔,بلی میاؤں کر رہی ہے۔
Forgetting is also important.,بھول جانا بھی ضروری ہے۔,بندر اچھل رہا ہے۔
The wolf is barking.,بھیڑیا بھونک رہا ہے۔,بھول جانا تکلیف دہ یادوں سے نجات دلاتا ہے
Be brave.,بہادر بنو۔,بھیڑیا بھونک رہا ہے۔
Spring season is very pleasant.,بہار کا موسم بہت خوشگوار ہوتا ہے۔,بہادر اور نڈر بنو
Visit the sick.,بیماروں کی عیادت کرو۔,موسم بہار ہے رنگوں کا پیغام، خوشیوں کی نوید ہے تو
Help the widows.,بیواؤں کی مدد کرو۔,بیماروں کی تیمارداری کرو
Don't be dishonest.,بے ایمان مت بنو۔,بیواؤں کی کفالت کرو
Pakistan is a member of the United Nations.,پاکستان اقوام متحدہ کا رکن ہے۔,بے ایمانی سے ذلت ملتی ہے
Pakistan is an Islamic republic.,پاکستان ایک اسلامی جمہوریہ ہے۔,اقوام متحدہ کا رکن ہے پاکستان، امن کا علمبردار ہے تو
Pakistan is a developing country.,پاکستان ایک ترقی پذیر ملک ہے۔,اسلامی جمہوریہ ہے پاکستان، اتحاد کی علامت ہے تو
Pakistan is a beautiful country.,پاکستان ایک خوبصورت ملک ہے۔,ترقی کی راہ پر گامزن ہے وطن، مستقبل کی امید ہے تو
Pakistan is a beautiful country.,پاکستان ایک خوبصورت ملک ہے۔,پاکستان گلشنِ رعنائی ہے۔
Pakistan is a beautiful country.,پاکستان ایک خوبصورت ملک ہے۔,گلشنِ رعنائی، پاکستان ہمارا ہے۔
Pakistan is a beautiful country.,پاکستان ایک خوبصورت ملک ہے۔,ہے گلشنِ عالم میں وطن میرا نشاں۔
Pakistan is a beautiful country.,پاکستان ایک خوبصورت ملک ہے۔,یہ گلشن ہمارا، وطن ہے پیارا
Pakistan is a beautiful country.,پاکستان ایک خوبصورت ملک ہے۔,گلشنِ رعنائی ہے پاکستان اے ہم وطن۔
Pakistan is a beautiful country.,پاکستان ایک خوبصورت ملک ہے۔,گلشن ہے میرا وطن پاکستان۔
Pakistan is a beautiful country.,پاکستان ایک خوبصورت ملک ہے۔,ارضِ پاک، حسن و رعنائی کا گہوارہ
Pakistan is a beautiful country.,پاکستان ایک خوبصورت ملک ہے۔,پاکستان ہے گلستان، حُسن و رعنائی کا مرکز۔
Long live Pakistan.,پاکستان زندہ باد۔,وطن میرا، گلشن رنگ و بو کا امیں ہے۔
The Constitution of Pakistan was adopted in 1973.,پاکستان کا آئین 1973 میں منظور ہوا۔,پاکستان زندہ باد رہے گا۔
There are two houses in the Parliament of Pakistan.,پاکستان کی پارلیمنٹ میں دو ایوان ہیں۔,آئین پاکستان ہے 1973 کا، قانون کی حکمرانی ہے تو
The Supreme Court of Pakistan is the highest court.,پاکستان کی سپریم کورٹ سب سے بڑی عدالت ہے۔,پارلیمنٹ میں ہیں دو ایوان، قانون سازی کا مرکز ہے تو
Pakistan's economy is based on agriculture.,پاکستان کی معیشت زراعت پر مبنی ہے۔,سپریم کورٹ ہے سب سے بڑی عدالت، انصاف کی علامت ہے تو
Pakistan is my homeland.,پاکستان میرا وطن ہے۔,زراعت ہے معیشت کی بنیاد، خوشحالی کی علامت ہے تو
Many NGOs work in Pakistan.,پاکستان میں بہت سی این جی اوز کام کرتی ہیں۔,پاکستان ہے میری پہچان، میرا وطن۔
There are many historical places in Pakistan.,پاکستان میں بہت سی تاریخی جگہیں ہیں۔,این جی اوز کرتی ہیں خدمت یہاں، انسانیت کی پہچان ہیں تو
There are many prisons in Pakistan.,پاکستان میں بہت سی جیلیں ہیں۔,تاریخ کے نقوش ہیں یہاں، عظمت کی نشانی ہے تو
Many languages ​​are spoken in Pakistan.,پاکستان میں بہت سی زبانیں بولی جاتی ہیں۔,جیلیں ہیں اصلاح کا مرکز یہاں، توبہ کی امید ہیں تو
There are many mosques in Pakistan.,پاکستان میں بہت سی مساجد ہیں۔,زبانیں ہیں رنگا رنگ یہاں، ثقافت کی پہچان ہیں تو
There are many universities in Pakistan.,پاکستان میں بہت سی یونیورسٹیاں ہیں۔,مساجد ہیں عبادت کا مرکز یہاں، سکون کی علامت ہیں تو
There are many teachers in Pakistan.,پاکستان میں بہت سے استاد ہیں۔,یونیورسٹیاں ہیں علم کا مرکز، ترقی کی راہ ہیں تو
There are many engineers in Pakistan.,پاکستان میں بہت سے انجینئر ہیں۔,استاد ہیں معلم یہاں، علم کی شمع ہیں تو
There are many mountain ranges in Pakistan.,پاکستان میں بہت سے پہاڑی سلسلے ہیں۔,انجینئر ہیں معمارِ وطن، تعمیر کی علامت ہیں تو
There are many police stations in Pakistan.,پاکستان میں بہت سے تھانے ہیں۔,پہاڑوں سے ڈھکا ہے وطن، قدرت کی نشانی ہے تو
Many festivals are celebrated in Pakistan.,پاکستان میں بہت سے تہوار منائے جاتے ہیں۔,تھانے ہیں امن کے محافظ یہاں، حفاظت کی علامت ہیں تو
There are many judges in Pakistan.,پاکستان میں بہت سے جج ہیں۔,تہوار ہیں خوشیوں کا پیغام، ثقافت کی نشانی ہیں تو
There are many Dargahs in Pakistan.,پاکستان میں بہت سے درگاہیں ہیں۔,جج ہیں انصاف کے علمبردار یہاں، عدل کی پہچان ہیں تو
There are many schools in Pakistan.,پاکستان میں بہت سے سکول ہیں۔,درگاہیں ہیں عقیدت کا مرکز یہاں، روحانیت کی نشانی ہیں تو
There are many politicians in Pakistan.,پاکستان میں بہت سے سیاستدان ہیں۔,سکول ہیں تعلیم کا گہوارہ یہاں، علم کی شمع ہیں تو
There are many poets in Pakistan.,پاکستان میں بہت سے شاعر ہیں۔,سیاستدان ہیں رہبر یہاں، قوم کی امید ہیں تو
There are many Sufi sages in Pakistan.,پاکستان میں بہت سے صوفی بزرگ ہیں۔,شاعر ہیں سخنور یہاں، الفاظ کی دنیا ہیں تو
There are many colleges in Pakistan.,پاکستان میں بہت سے کالج ہیں۔,صوفی بزرگ ہیں ولی یہاں، معرفت کی پہچان ہیں تو
There are many players in Pakistan.,پاکستان میں بہت سے کھلاڑی ہیں۔,کالج ہیں اعلیٰ تعلیم کا مرکز یہاں، ترقی کی راہ ہیں تو
There are many singers in Pakistan.,پاکستان میں بہت سے گلوکار ہیں۔,کھلاڑی ہیں باصلاحیت یہاں، کھیل کی جان ہیں تو
There are many philanthropists in Pakistan.,پاکستان میں بہت سے مخیر حضرات ہیں۔,گلوکار ہیں خوش آواز یہاں، موسیقی کی جان ہیں تو
There are many seminaries in Pakistan.,پاکستان میں بہت سے مدرسے ہیں۔,مخیر حضرات ہیں سخی یہاں، سخاوت کی مثال ہیں تو
There are many shrines in Pakistan.,پاکستان میں بہت سے مزار ہیں۔,مدرسے ہیں دینی تعلیم کا مرکز یہاں، ہدایت کی راہ ہیں تو
There are many hospitals in Pakistan.,پاکستان میں بہت سے ہسپتال ہیں۔,مزار ہیں عقیدت کا مرکز یہاں، روحانیت کی نشانی ہیں تو
There are many lawyers in Pakistan.,پاکستان میں بہت سے وکیل ہیں۔,ہسپتال ہیں شفا کا مرکز یہاں، صحت کی ضمانت ہیں تو
There are many orphanages in Pakistan.,پاکستان میں بہت سے یتیم خانے ہیں۔,وکیل ہیں قانون کے محافظ یہاں، انصاف کی امید ہیں تو
Pakistan is a democracy.,پاکستان میں جمہوریت ہے۔,یتیم خانے ہیں سہارا یہاں، محبت کی مثال ہیں تو
Pakistan has four seasons.,پاکستان میں چار موسم ہوتے ہیں۔,جمہوریت ہے نظامِ حکومت یہاں، عوام کی حکمرانی ہے تو
Pakistan is our home.,پاکستان ہمارا گھر ہے۔,چار موسموں کا ہے دیس، رنگوں کی بہار ہے تو
Pakistani actors are talented.,پاکستانی اداکار باصلاحیت ہیں۔,پاکستان ہمارا آشیاں ہے۔
Pakistani writers are talented.,پاکستانی ادیب باصلاحیت ہیں۔,اداکار ہیں فنکار یہاں، اداکاری کی معراج ہیں تو
Pakistani children are intelligent.,پاکستانی بچے ذہین ہوتے ہیں۔,ادیب ہیں دانشور یہاں، علم کی روشنی ہیں تو
Pakistani children go to school.,پاکستانی بچے سکول جاتے ہیں۔,بچے ہیں ذہین یہاں، مستقبل کی امید ہیں تو
Pakistani police protect people.,پاکستانی پولیس لوگوں کی حفاظت کرتی ہے۔,بچے جاتے ہیں سکول یہاں، مستقبل کی امید ہیں تو
Pakistani doctors are good.,پاکستانی ڈاکٹر اچھے ہوتے ہیں۔,پولیس کرتی ہے حفاظت یہاں، امن کی علامت ہے تو
Pakistani doctors treat patients.,پاکستانی ڈاکٹر مریضوں کا علاج کرتے ہیں۔,ڈاکٹر ہیں مسیحا یہاں، صحت کی ضمانت ہیں تو
