Write a poem about the pain of regret,"پچھتاوا ایک کانٹا ہے دل میں پیوست,,یہ چین سے جینے نہیں دیتا کبھی درست۔"
Describe the feeling of freedom,"آزادی ایک پرندہ ہے، اُڑتا ہوا,,یہ قید سے رہائی، ایک نیا سفر ہے۔"
Compose a verse on the beauty of simplicity,"سادگی میں ہے حسن، سادگی میں ہے سکون,,یہ زندگی کو پُر لطف بناتی ہے۔"
Explain the value of learning,"سیکھنا زندگی بھر کا عمل ہے جاری,,یہ عقل کو روشن کرتا ہے، بڑھاتا ہے تیاری۔"
Write a poem about the passage of time,"وقت ریت کی طرح ہاتھوں سے پھسلتا ہے,,یہ کبھی نہیں رکتا، ہمیشہ چلتا ہے۔"
Describe the feeling of nostalgia,"ماضی کی یادیں دل کو بھاتی ہیں بہت,,یہ بیتے دنوں کی ایک میٹھی لہر ہے۔"
Compose a verse on the importance of truth,"سچائی کی راہ پر چلنا ہے مشکل ضرور,,مگر یہی ہے زندگی کا اصل دستور۔"
Explain the essence of inner peace,"دل کا سکون سب سے بڑی دولت ہے,,یہ دنیا کی ہر چیز سے قیمتی ہے۔"
Write a poem about the beauty of sunrise,"صبح کا منظر کتنا دلکش ہے,,جیسے رات کے اندھیرے کو روشنی نے ہرایا۔"
Describe the feeling of wonder,"حیرت ایک احساس ہے کتنا عجیب,,یہ دنیا کو نیا دیکھنا سکھاتا ہے۔"
Compose a verse on the strength of unity,"اتحاد میں ہے طاقت، اتفاق میں ہے برکت,,یہ مشکلوں کو آسان بنا دیتا ہے۔"
Explain the value of empathy,"ہمدردی دلوں کو جوڑتی ہے,,یہ درد میں بھی راحت کا احساس ہے۔"
Write a poem about the mystery of the universe,"کائنات ایک راز ہے، ایک معمہ ہے,,اسے سمجھنا مشکل، بس حیرت ہے۔"
Describe the feeling of excitement,"جوش و خروش دل کو بھر دیتا ہے,,یہ زندگی کو ایک نیا رنگ دیتا ہے۔"
Compose a verse on the beauty of silence,"خاموشی میں بھی ایک گیت ہے پنہاں,,یہ دل کی بات سننے کا انداز ہے۔"
Explain the essence of courage,"حوصلہ مشکلوں سے لڑنے کی طاقت ہے,,یہ ڈر کو دور کرتا ہے، دیتا ہے ہمت۔"
Write a poem about the beauty of nature in spring,"بہارِ فطرت میں کیا خوب نظارہ ہے,,ہر طرف رنگ و بو کا ایک جہاں آباد ہے۔"
Describe the feeling of disappointment,"مایوسی ایک بادل ہے دل پر چھایا,,یہ امید کی روشنی کو کم کرتا ہے۔"
Compose a verse on the importance of perseverance,"لگن سے کام کرو، کبھی نہ ہار مانو,,محنت کا پھل ضرور ملتا ہے۔"
Explain the value of wisdom,"دانائی زندگی کا نور ہے,,یہ صحیح اور غلط میں فرق بتاتی ہے۔"
Write a poem about the beauty of a flowing river,"دریا رواں دواں کتنا سہانا ہے,,جیسے زندگی کی روانی کا پیغام ہے۔"
Describe the feeling of anticipation,"انتظار ایک کشش ہے، ایک تجسس,,یہ آنے والے وقت کا احساس ہے۔"
Compose a verse on the strength of hope,"امید کی کرن کبھی مت چھوڑو,,یہ اندھیرے میں بھی راستہ دکھاتی ہے۔"
Explain the essence of compassion,"رحم دلی انسانیت کی پہچان ہے,,یہ درد بانٹنے کا ایک ذریعہ ہے۔"
Write a poem about the beauty of autumn,"خزاں کا موسم بھی کتنا دلکش ہے,,پتے گرتے ہیں، مگر رنگ رہتے ہیں۔"
Describe the feeling of contentment,"قناعت ایک دولت ہے بڑی,,یہ جو ہے اس میں خوش رہنا سکھاتی ہے۔"
English Prompt,Urdu Poetry Response
Write about the beauty of a desert at night,"ریگزار رات میں کتنا خاموش ہے,,ستارے جھلملاتے ہیں، ریت چمکتی ہے۔"
Describe the feeling of being overwhelmed,"احساسِ بوجھ سے دل ہے پُر,,جیسے غموں کا پہاڑ سر پہ ہے۔"
Compose a verse on the fleeting nature of life,"زندگی کی حقیقت ہے عارضی,,یہ ایک خواب ہے، پل میں گزر جاتا ہے۔"
Explain the importance of self-reflection,"خود شناسی ہے زندگی کا مقصد,,اپنے آپ کو پہچانو، یہی ہے حکمت۔"
Write a poem about the beauty of mountains,"پہاڑوں کا منظر کتنا عظیم ہے,,یہ عظمت اور بلندی کا نشان ہے۔"
Describe the feeling of being inspired,"الہام ایک روشنی ہے دل میں,,یہ نیا راستہ دکھاتا ہے، نئی منزل۔"
Compose a verse on the value of hard work,"محنت کا کوئی بدل نہیں ہے جہاں میں,,یہ کامیابی کی کنجی ہے، ہر امتحان میں۔"
Explain the essence of true friendship,"دوستی سچی ہو تو زندگی ہے آسان,,یہ ہر مشکل میں دیتی ہے ساتھ اور مان۔"
Write a poem about the pain of unrequited love,"بے رخی کا درد سہنا مشکل ہے بہت,,یہ دل کو جلاتا ہے، کرتا ہے بے بس۔"
Describe the feeling of joy,"خوشی ایک ترانہ ہے دل کا,,یہ زندگی کو نغموں سے بھر دیتا ہے۔"
Compose a verse on the importance of education,"تعلیم ایک زیور ہے انمول,,یہ جہالت کے اندھیرے کو دور کرتا ہے۔"
Explain the meaning of inner strength,"باطنی قوت ہے سب سے بڑی طاقت,,یہ مشکلوں کا مقابلہ کرنے کی ہمت ہے۔"
Write a poem about hope in dark times,"اندھیرے میں بھی امید کی کرن دیکھو,,یہ رات کے بعد صبح کا پیغام ہے۔"
Describe the beauty of a waterfall,"آبشار کا منظر کتنا دل فریب ہے,,جیسے پانی کا شور ایک موسیقی ہے۔"
Compose a verse on the strength of determination,"عزم محکم ہو تو سب کچھ ہے ممکن,,یہ منزل کو قریب لاتا ہے، ہر قدم۔"
Explain the value of kindness to animals,"جانوروں پر رحم کرو، یہ بھی ہیں جاندار,,ان کی بھی زندگی ہے، ان کا بھی ہے پیار۔"
Write a poem about the loneliness of old age,"بڑھاپے کی تنہائی میں دل ہے اداس,,یادیں ہیں ساتھی، اور وقت ہے بے پاس۔"
Describe the feeling of peace after a storm,"طوفان کے بعد کا سکون کتنا گہرا ہے,,جیسے فطرت نے پھر سے سانس لی ہو۔"
Compose a verse on the wisdom of nature,"فطرت کی حکمت میں ہے زندگی کا راز,,یہ ہر چیز سکھاتی ہے، ہر انداز۔"
Explain the essence of gratitude for blessings,"نعمتوں کا شکر ادا کرنا ہے لازم,,یہ زندگی کو برکت سے بھر دیتا ہے۔"
Write a poem about the changing colors of leaves in autumn,"خزاں میں پتوں کا رنگ بدلنا کتنا خوبصورت ہے,,جیسے فطرت نے رنگوں کی بازی لگائی ہو۔"
Describe the beauty of a clear blue sky,"آسمان نیلا صاف کتنا وسیع ہے,,جیسے خدا نے رحمت کی چادر تانی ہو۔"
Compose a verse on the importance of respect for others,"دوسروں کی عزت کرو، یہ ہے انسانیت,,یہ دنیا کو بہتر بناتی ہے، ہمیشہ۔"
Explain the meaning of life's challenges,"زندگی کی مشکلات ہیں امتحان,,یہ ہمیں مضبوط بناتی ہیں، ہر آن۔"
Write a poem about the pain of losing a loved one,"اپنے کو کھونا دردناک ہے بہت,,یہ دل کو توڑ دیتا ہے، کرتا ہے بے حس۔"
Describe the feeling of excitement for a new adventure,"نئے سفر کا جوش و خروش دل میں,,یہ زندگی کو نیا رنگ دیتا ہے، ہر پل۔"
Compose a verse on the beauty of spoken words,"لفظوں میں ہے جادو، لفظوں میں ہے اثر,,یہ دلوں کو جیت لیتے ہیں، پل بھر میں۔"
Explain the value of listening to your heart,"دل کی سنو آواز، یہ سچی ہے ہمیشہ,,یہ زندگی کی راہ میں دکھاتی ہے راستہ۔"
Write a poem about the passage of seasons,"موسم آتے جاتے ہیں، یہ زندگی کا نظام ہے,,ہر موسم میں نیا رنگ، نیا ہے مقام۔"
Describe the feeling of wonder at the vastness of space,"خلا کی وسعت پر حیرت ہوتی ہے بہت,,یہ کائنات کتنی بڑی ہے، بے انتہا۔"
Compose a verse on the importance of forgiveness for yourself,"خود کو معاف کرنا بھی ہے ضروری,,یہ دل کو بوجھ سے آزاد کرتا ہے۔"
Explain the essence of inner peace in chaos,"ہنگامے میں بھی دل کا سکون ہے کمال,,یہ زندگی کی مشکلوں کو کرتا ہے حلال۔"
Write a poem about the beauty of dawn,"فجر کا منظر کتنا پُر نور ہے,,جیسے رات کے اندھیرے کو روشنی نے پکارا۔"
Describe the feeling of awe,"عظمت کا احساس دل کو بھر دیتا ہے,,یہ دنیا کی خوبصورتی دکھاتا ہے۔"
Compose a verse on the strength of community,"مل جل کر رہنا ہے زندگی کا اصول,,یہ مشکلوں کو بانٹ دیتا ہے، کرتا ہے قبول۔"
Explain the value of empathy for suffering,"دکھ درد میں ہمدردی ہے دوا,,یہ زخموں کو بھر دیتی ہے، دیتی ہے شفا۔"
Write a poem about the mystery of dreams and reality,"خواب اور حقیقت میں کیا فرق ہے,,یہ زندگی ایک معمہ ہے، ایک راز ہے۔"
Describe the feeling of anticipation for spring,"بہار کی آمد کا انتظار کتنا میٹھا ہے,,یہ زندگی کو پھر سے ہرا بھرا کرتا ہے۔"
Compose a verse on the beauty of a quiet moment,"خاموش لمحہ بھی کتنا قیمتی ہے,,یہ دل کو سکون دیتا ہے، کرتا ہے پُر لطف۔"
Explain the essence of courage in adversity,"مصیبت میں حوصلہ ہے سب سے بڑا ہتھیار,,یہ مشکلوں کو آسان بناتا ہے، ہر بار۔"
Write a poem about the beauty of nature in summer,"گرمیوں میں فطرت کا جلوہ کتنا رنگین ہے,,پھول کھلتے ہیں، پرندے چہچہاتے ہیں۔"
Describe the feeling of disappointment in failure,"نا کامی کا احساس دل کو توڑ دیتا ہے,,یہ امید کی روشنی کو مدھم کرتا ہے۔"
Compose a verse on the importance of resilience,"لچک دکھاؤ زندگی میں، نہ ہار مانو,,یہ مشکلوں سے لڑنے کی طاقت ہے۔"
Explain the value of wisdom in decision making,"دانائی سے فیصلے کرو ہمیشہ,,یہ غلطیوں سے بچاتی ہے، دیتی ہے رہنمائی۔"
Write a poem about the beauty of a calm lake,"جھیل ساکن کتنی پرسکون ہے,,جیسے پانی کا آئینہ خاموش کھڑا ہے۔"
Describe the feeling of longing for home,"گھر کی یاد دل کو بے چین کرتی ہے,,یہ اپنی جگہ کی محبت ہے، ہمیشہ۔"
Compose a verse on the strength of faith,"ایمان کی طاقت سے سب کچھ ممکن ہے,,یہ مشکلوں کو آسان بناتا ہے، ہر دم۔"
Explain the essence of compassion for all beings,"تمام مخلوق پر رحم کرو، یہ ہے انسانیت,,یہ دنیا کو جنت بنا سکتی ہے۔"
Write a poem about the beauty of winter snow,"سردیوں کی برفباری کتنی سفید ہے,,جیسے زمین نے چادر اوڑھ لی ہو۔"
Describe the feeling of contentment in simple things,"سادہ چیزوں میں خوشی ہے اصل,,یہ زندگی کو پُر لطف بناتی ہے، ہر پل۔"
English Prompt,Urdu Poetry Response
A general Muslim greeting,السلام علیکم
Response to 'As-salamu alaykum',وعلیکم السلام
Muslim good morning greeting,السلام علیکم، صبح بخیر
Muslim good evening greeting,السلام علیکم، شام بخیر
Asking 'How are you?' in a Muslim context,آپ کیسے ہیں؟
Formal Muslim greeting asking about well-being,جناب کیسے ہیں؟ خیریت سے ہیں؟
Greeting someone after a long time in a Muslim context,السلام علیکم، بہت دنوں بعد ملے!
Eid greeting,عید مبارک!
Response to 'Eid Mubarak',آپ کو بھی عید مبارک!
Greeting before prayer in mosque,السلام علیکم ورحمۃ اللہ وبرکاتہ
Greeting after prayer in mosque,السلام علیکم ورحمۃ اللہ وبرکاتہ
Greeting an elder respectfully in a Muslim context,السلام علیکم، جناب کیسے مزاج ہیں؟
Greeting a younger person in a Muslim context,السلام علیکم، کیا حال ہے؟
Greeting a group of Muslims,السلام علیکم ورحمۃ اللہ وبرکاتہ
Asking about family in a Muslim context,السلام علیکم، گھر میں سب خیریت سے ہیں؟
Asking about work in a Muslim context,السلام علیکم، کام کیسا چل رہا ہے؟
Greeting while leaving in a Muslim context,السلام علیکم، خدا حافظ
Response to 'Khuda Hafiz',خدا حافظ
Greeting someone who is sick in a Muslim context,السلام علیکم، کیا حال ہے؟ اللہ آپ کو شفا دے
Friday (Jummah) greeting,جمعہ مبارک!
Response to 'Jummah Mubarak',آپ کو بھی جمعہ مبارک!
Asking a friend 'How are you?' (Muslim context),السلام علیکم، کیا حال چال ہیں؟
Asking an elder 'How are you?' respectfully (Muslim context),السلام علیکم، جناب کیسے مزاج ہیں؟
Casual 'How are you?' in Urdu (Muslim),کیا خبر ہے؟
Asking about health in a Muslim greeting,السلام علیکم، صحت کیسی ہے؟
Formal Muslim good morning,السلام علیکم ورحمۃ اللہ وبرکاتہ، صبح الخیر
Informal Muslim good evening,السلام علیکم، شام بخیر
"Saying 'Good morning, may Allah bless you'",صبح بخیر، اللہ برکت دے
Muslim greeting with a prayer for well-being,السلام علیکم، اللہ آپ کو حفظ و امان میں رکھے
Greeting someone starting a journey with a prayer,اللہ حافظ، آپ کا سفر مبارک ہو
Greeting a neighbor (Muslim),السلام علیکم، کیسے ہیں آپ؟
Greeting a shopkeeper (Muslim),السلام علیکم، بھائی صاحب کیسے ہیں؟
Greeting a teacher (Muslim),السلام علیکم، استاد محترم کیسے ہیں؟
Greeting in the morning generally (Muslim),صبح النور
Greeting in the evening generally (Muslim),مساء النور
Asking about children's well-being (Muslim),بچے کیسے ہیں؟
Asking about parents' health (Muslim),والدین کی صحت کیسی ہے؟
Greeting while meeting someone for the first time (Muslim),السلام علیکم، آپ سے مل کر خوشی ہوئی
Greeting before starting work (Muslim),بسم اللہ الرحمن الرحیم
Greeting after finishing work (Muslim),الحمدللہ
Greeting someone after they sneeze (Muslim),یرحمک اللہ
Response to 'یرحمک اللہ',یھدیکم اللہ ویصلح بالکم
Greeting someone who has recovered from illness (Muslim),الحمدللہ علی السلامہ
Greeting someone who is going for Hajj/Umrah (Muslim),حج مبرور اور سعی مشکور
Greeting someone returning from Hajj/Umrah (Muslim),حج مبارک
Greeting on Shab-e-Barat (Muslim),شب برات مبارک
Greeting on Ramadan,رمضان مبارک
Greeting on Eid al-Adha,عید الاضحی مبارک
Greeting for a new month (Islamic calendar),نیا مہینہ مبارک ہو
Greeting for a new year (Islamic calendar),نیا سال مبارک ہو
Greeting for a blessed night (Muslim),شب بخیر
Greeting for a blessed day (Muslim),یوم مبارک
Greeting for a happy occasion (Muslim),مبارک ہو
Greeting for condolences (Muslim),انا للہ وانا الیہ راجعون
Greeting for patience in difficulty (Muslim),اللہ صبر دے
Greeting for strength in faith (Muslim),اللہ ایمان قوی کرے
Greeting for guidance (Muslim),اللہ ہدایت دے
Greeting for forgiveness (Muslim),اللہ مغفرت کرے
Greeting for blessings (Muslim),اللہ برکت دے
Greeting for ease in affairs (Muslim),اللہ آسانیاں کرے
Greeting for good health (Muslim),اللہ صحت دے
Greeting for long life (Muslim),اللہ عمر دراز کرے
Greeting for prosperity (Muslim),اللہ رزق میں برکت دے
Greeting for success (Muslim),اللہ کامیابی دے
Greeting for protection (Muslim),اللہ حفاظت کرے
Greeting for mercy (Muslim),اللہ رحم کرے
Greeting for peace (Muslim),اللہ امن دے
Greeting for happiness (Muslim),اللہ خوش رکھے
Greeting for contentment (Muslim),اللہ قناعت دے
Greeting for wisdom (Muslim),اللہ حکمت دے
Greeting for knowledge (Muslim),اللہ علم میں اضافہ کرے
Greeting for understanding (Muslim),اللہ سمجھ عطا فرمائے
Greeting for good character (Muslim),اللہ اخلاق حسنہ عطا فرمائے
Greeting for piety (Muslim),اللہ تقویٰ نصیب کرے
Greeting for sincerity (Muslim),اللہ اخلاص عطا فرمائے
Greeting for good deeds (Muslim),اللہ نیک اعمال کی توفیق دے
Greeting for acceptance of prayers (Muslim),اللہ دعائیں قبول فرمائے
Greeting for Paradise (Jannah) (Muslim),اللہ جنت نصیب کرے
Greeting for forgiveness in the afterlife (Muslim),اللہ آخرت میں مغفرت فرمائے
Greeting for ease on the Day of Judgement (Muslim),اللہ قیامت کے دن آسانی فرمائے
Greeting for intercession of Prophet Muhammad (PBUH) (Muslim),اللہ نبی کریم صلی اللہ علیہ وسلم کی شفاعت نصیب فرمائے
Greeting for seeing Allah in Paradise (Muslim),اللہ جنت میں اپنا دیدار نصیب فرمائے
Greeting for steadfastness on Islam (Muslim),اللہ اسلام پر استقامت عطا فرمائے
Greeting for death in a state of Iman (faith) (Muslim),اللہ ایمان پر خاتمہ بالخیر فرمائے
Greeting for ease in grave (Muslim),اللہ قبر میں آسانی فرمائے
Greeting for light in grave (Muslim),اللہ قبر کو روشن فرمائے
Greeting for coolness in grave (Muslim),اللہ قبر کو ٹھنڈا فرمائے
Greeting for fragrance in grave (Muslim),اللہ قبر کو معطر فرمائے
Greeting for expansion in grave (Muslim),اللہ قبر کو کشادہ فرمائے
Greeting for companionship of righteous in grave (Muslim),اللہ قبر میں نیک لوگوں کی صحبت نصیب فرمائے
Greeting for protection from Hellfire (Muslim),اللہ جہنم کی آگ سے بچائے
Greeting for shade on the Day of Judgement (Muslim),اللہ قیامت کے دن سایہ نصیب فرمائے
Greeting for intercession of Quran (Muslim),اللہ قرآن کی شفاعت نصیب فرمائے
Greeting for intercession of Ramadan fasts (Muslim),اللہ رمضان کے روزوں کی شفاعت نصیب فرمائے
Greeting for intercession of good deeds (Muslim),اللہ نیک اعمال کی شفاعت نصیب فرمائے
Greeting for ease in answering questions in grave (Muslim),اللہ قبر میں سوالات کے جواب میں آسانی فرمائے
Greeting for ease in crossing the bridge (Sirat) (Muslim),اللہ پل صراط پار کرنے میں آسانی فرمائے
Greeting for heavy scale of good deeds (Mizan) (Muslim),اللہ میزان میں نیک اعمال کا پلڑا بھاری فرمائے
Greeting for drinking from the fountain of Prophet (Kausar) (Muslim),اللہ حوض کوثر سے سیراب فرمائے
Greeting for entry into Paradise without account (Muslim),اللہ بغیر حساب کتاب جنت میں داخلہ نصیب فرمائے
Greeting for highest level of Paradise (Firdous) (Muslim),اللہ جنت الفردوس میں اعلیٰ مقام عطا فرمائے
Greeting for nearness to Prophet Muhammad (PBUH) in Paradise (Muslim),اللہ جنت میں نبی کریم صلی اللہ علیہ وسلم کی قربت نصیب فرمائے
Greeting for nearness to Allah in Paradise (Muslim),اللہ جنت میں اپنا قرب نصیب فرمائے
Greeting for vision of Allah in Paradise (Muslim),اللہ جنت میں اپنا دیدار نصیب فرمائے
Greeting for forgiveness of sins (Muslim),اللہ گناہوں کی مغفرت فرمائے
Greeting for acceptance of repentance (Muslim),اللہ توبہ قبول فرمائے
Greeting for guidance to the straight path (Muslim),اللہ صراط مستقیم پر چلائے
Greeting for protection from misguidance (Muslim),اللہ گمراہی سے بچائے
Greeting for protection from trials and tribulations (Muslim),اللہ فتنوں سے محفوظ رکھے
Greeting for protection from evil eye (Muslim),اللہ نظر بد سے بچائے
Greeting for protection from envy (Muslim),اللہ حسد سے بچائے
Greeting for protection from magic (Muslim),اللہ جادو سے بچائے
Greeting for protection from evil whispers (Muslim),اللہ شیطانی وسوسوں سے بچائے
Greeting for protection from calamities (Muslim),اللہ آفات سے محفوظ رکھے
Greeting for protection from diseases (Muslim),اللہ بیماریوں سے محفوظ رکھے
Greeting for protection from poverty (Muslim),اللہ غربت سے بچائے
Greeting for protection from debt (Muslim),اللہ قرض سے نجات دلائے
Greeting for ease in livelihood (Muslim),اللہ رزق حلال میں آسانی فرمائے
Greeting for increase in livelihood (Muslim),اللہ رزق میں اضافہ فرمائے
Greeting for lawful livelihood (Muslim),اللہ رزق حلال عطا فرمائے
Greeting for blessed livelihood (Muslim),اللہ رزق میں برکت عطا فرمائے
Greeting for contentment with livelihood (Muslim),اللہ رزق پر قناعت عطا فرمائے
Greeting for gratitude for livelihood (Muslim),اللہ رزق پر شکر ادا کرنے کی توفیق دے
Greeting for spending livelihood in good ways (Muslim),اللہ رزق کو نیک کاموں میں خرچ کرنے کی توفیق دے
Greeting for protection of livelihood from wastage (Muslim),اللہ رزق کو فضول خرچی سے بچائے
Greeting for protection of livelihood from theft (Muslim),اللہ رزق کو چوری سے محفوظ رکھے
Greeting for protection of livelihood from loss (Muslim),اللہ رزق کو نقصان سے بچائے
Greeting for increase in lifespan (Muslim),اللہ عمر میں برکت عطا فرمائے
Greeting for blessed lifespan (Muslim),اللہ عمر کو بابرکت بنائے
Greeting for spending lifespan in good deeds (Muslim),اللہ عمر کو نیک کاموں میں گزارنے کی توفیق دے
Greeting for protection of lifespan from wastage (Muslim),اللہ عمر کو ضائع ہونے سے بچائے
Greeting for protection of lifespan from evil (Muslim),اللہ عمر کو برائی سے محفوظ رکھے
Greeting for ease in old age (Muslim),اللہ بڑھاپے میں آسانی فرمائے
Greeting for good health in old age (Muslim),اللہ بڑھاپے میں صحت عطا فرمائے
Greeting for strength in old age (Muslim),اللہ بڑھاپے میں قوت عطا فرمائے
Greeting for respect in old age (Muslim),اللہ بڑھاپے میں عزت عطا فرمائے
Greeting for protection from humiliation in old age (Muslim),اللہ بڑھاپے میں ذلت سے بچائے
Greeting for ease in death (Muslim),اللہ موت میں آسانی فرمائے
Greeting for death in a state of purity (Muslim),اللہ پاکیزگی کی حالت میں موت عطا فرمائے
Greeting for death in a state of forgiveness (Muslim),اللہ مغفرت کی حالت میں موت عطا فرمائے
Greeting for death in a state of mercy (Muslim),اللہ رحمت کی حالت میں موت عطا فرمائے
Greeting for death in a state of acceptance (Muslim),اللہ مقبولیت کی حالت میں موت عطا فرمائے
Greeting for death in a state of nearness to Allah (Muslim),اللہ قرب الٰہی کی حالت میں موت عطا فرمائے
Greeting for family well-being (Muslim),اللہ گھر والوں کو خیریت سے رکھے
Greeting for children's righteousness (Muslim),اللہ بچوں کو نیک بنائے
Greeting for spouse's piety (Muslim),اللہ شریک حیات کو نیک بنائے
Greeting for parents' forgiveness (Muslim),اللہ والدین کی مغفرت فرمائے
Greeting for siblings' unity (Muslim),اللہ بہن بھائیوں میں اتفاق رکھے
Greeting for relatives' well-being (Muslim),اللہ رشتہ داروں کو خیریت سے رکھے
Greeting for friends' loyalty (Muslim),اللہ دوستوں کو وفادار بنائے
Greeting for community's harmony (Muslim),اللہ معاشرے میں ہم آہنگی پیدا کرے
Greeting for nation's prosperity (Muslim),اللہ ملک کو خوشحال بنائے
Greeting for world peace (Muslim),اللہ دنیا میں امن قائم کرے
Greeting for guidance to rulers (Muslim),اللہ حکمرانوں کو ہدایت دے
Greeting for justice in society (Muslim),اللہ معاشرے میں انصاف قائم کرے
Greeting for end of oppression (Muslim),اللہ ظلم کا خاتمہ کرے
Greeting for victory of truth (Muslim),اللہ حق کو فتح دے
Greeting for defeat of falsehood (Muslim),اللہ باطل کو شکست دے
Greeting for spread of Islam (Muslim),اللہ اسلام کو پھیلائے
Greeting for unity of Muslims (Muslim),اللہ مسلمانوں میں اتحاد پیدا کرے
Greeting for strength of Muslim Ummah (Muslim),اللہ امت مسلمہ کو قوت عطا فرمائے
Greeting for protection of Muslim lands (Muslim),اللہ مسلم ممالک کی حفاظت فرمائے
Greeting for liberation of oppressed Muslims (Muslim),اللہ مظلوم مسلمانوں کو نجات دلائے
Greeting for relief for suffering Muslims (Muslim),اللہ مصیبت زدہ مسلمانوں کو راحت دے
Greeting for healing for sick Muslims (Muslim),اللہ بیمار مسلمانوں کو شفا دے
Greeting for repayment of debts for indebted Muslims (Muslim),اللہ مقروض مسلمانوں کو قرض سے نجات دلائے
Greeting for provision for poor Muslims (Muslim),اللہ غریب مسلمانوں کو رزق عطا فرمائے
Greeting for orphans and widows (Muslim),اللہ یتیموں اور بیواؤں کی کفالت فرمائے
Greeting for travelers (Muslim),اللہ مسافروں کی حفاظت فرمائے
Greeting for refugees (Muslim),اللہ پناہ گزینوں کی مدد فرمائے
Greeting for prisoners (Muslim),اللہ قیدیوں کو رہائی دلائے
Greeting for those in distress (Muslim),اللہ پریشان حالوں کی پریشانی دور فرمائے
Greeting for those in grief (Muslim),اللہ غمزدوں کو صبر عطا فرمائے
Greeting for those who have lost loved ones (Muslim),اللہ مرحومین کی مغفرت فرمائے
Greeting for those facing trials (Muslim),اللہ آزمائش میں مبتلا لوگوں کو صبر عطا فرمائے
Greeting for those seeking knowledge (Muslim),اللہ طالب علموں کو علم نافع عطا فرمائے
Greeting for those working for good (Muslim),اللہ نیک کام کرنے والوں کی مدد فرمائے
Greeting for those inviting to Islam (Muslim),اللہ دعوت دینے والوں کو کامیابی عطا فرمائے
Greeting for those defending Islam (Muslim),اللہ اسلام کا دفاع کرنے والوں کی حفاظت فرمائے
Greeting for those spreading goodness (Muslim),اللہ نیکی پھیلانے والوں کو جزائے خیر دے
Greeting for those remembering Allah (Muslim),اللہ ذکر کرنے والوں کو قرب عطا فرمائے
